Nombre,Link,Arcade,Simulacion,Deportivo,E-sports,Terror,Exploracion,Estrategia,Accion,Animado,Historia,Conocido,Tiempo
Bloodborne - From Software y JapanStudio,https://youtu.be/G1iNph1jzOo,0.17,0.33,0.17,0.33,1,0.83,0.83,1,0.17,1,0.83,0.83
Doom Eternal - id Software & Bathesda,https://youtu.be/DEvGYcOrhI0,0.17,0.17,0.17,1,0.83,0.5,0.17,1,0.33,1,1,0.67
League of legends - Riot Games,https://youtu.be/BEK-UmDu6Jg,0.17,0.17,0.17,1,0.17,0.17,0.5,0.83,0.33,0.17,1,0.67
Minecraft - Mojang,https://youtu.be/MmB9b5njVbA,0.33,0.67,0.17,0.33,0.17,1,0.5,0.5,0.83,0.17,0.83,1
Pacman - Namco,https://youtu.be/dScq4P5gn4A,1,0.17,0.17,0.17,0.17,0.17,0.83,0.17,0.83,0.17,0.5,0.33
NBA 2K21 - 2K Studios,https://youtu.be/sVgxVIwZakw,0.17,1,1,0.33,0.17,0.17,0.17,0.33,0.67,0.17,1,0.33
Never Alone - E-Line Media,https://youtu.be/kcgK48l_2V8,0.17,0.33,0.17,0.17,0.17,0.33,1,0.33,0.33,1,0.33,0.67
Dauntless - Phoenix Labs,https://youtu.be/rT2B3GFOUuw,0.17,0.33,0.17,0.33,0.17,1,0.17,0.83,0.83,0.33,0.5,0.67
Prey - Arkane Studios,https://youtu.be/Lk0AIvzYFTI,0.17,0.67,0.17,0.83,1,0.83,0.17,0.67,0.33,1,1,0.67
Star Wars: Battlefront - DICE,https://youtu.be/B5HpK58sMjA,0.17,0.33,0.17,1,0.17,0.17,0.17,0.83,0.67,0.67,1,0.5
Dragon's Dogma - Capcom,https://youtu.be/HYbH25f36Qg,0.17,0.17,0.17,0.17,0.5,1,0.33,0.83,0.83,0.5,0.67,0.67
ELDEN RING - Fromsoftware,https://youtu.be/OT8if6DXOFQ,0.17,0.17,0.5,0.17,1,1,0.33,1,0.5,1,0.83,1
Red Dead Redemption 2 - Rockstar Games,https://youtu.be/df_z1u2pHYA,0.5,0.17,0.33,0.17,0.17,1,0.5,1,0.67,1,1,1
Skyrim - Bethesda Softworks,https://youtu.be/JSRtYpNRoN0,0.17,0.33,0.17,0.17,0.17,1,0.5,0.83,0.67,1,1,0.67
The Witcher 3: Wild Hunt - CDProjekt Red,https://youtu.be/c-OUdVkWnP8,0.17,0.17,0.17,0.17,0.33,1,0.67,0.83,0.67,0.83,0.83,1
Fall guys - Mediatonic,https://www.youtube.com/watch?v=y-yQ-BDH7e8,0.17,0.17,0.5,0.17,0.17,1,0.17,0.17,1,0.17,0.5,0.5
Golf it - Perfuse Entertainment,https://www.youtube.com/watch?v=3CWGoRSljb4,0.17,0.17,0.83,0.17,0.17,0.17,0.67,0.17,1,0.17,0.5,0.67
Hogwarts Legacy - Avalanche Software,https://www.youtube.com/watch?v=1O6Qstncpnc,0.17,0.83,0.5,0.17,0.33,1,0.5,0.67,1,1,1,1
It Takes Two - Hazelight Studios,https://www.youtube.com/watch?v=PO4kR5DI00E,0.17,0.17,0.17,0.17,0.17,1,1,0.17,1,1,0.5,1
Pokemon - Nintendo,https://www.youtube.com/watch?v=9RbjFjYgNNg,0.5,0.33,0.33,0.17,0.17,1,0.67,0.17,1,1,1,1
Animal Crossing New Horizons,https://youtu.be/5YPxiTLMcdg,0.17,1,0.5,0.17,0.17,1,0.17,0.17,1,0.5,1,1
Cities Skyline,https://youtu.be/CpWe03NhXKs,0.17,0.83,0.17,0.17,0.17,0.67,0.83,0.33,0.83,0.17,0.33,1
Fortnite,https://youtu.be/cv7YRnV_WFI,0.17,0.17,0.5,1,0.67,0.17,0.33,0.17,0.67,0.17,1,1
Phasmophobia,https://youtu.be/FJ3M46C4584,0.17,0.5,0.17,0.17,1,0.17,0.17,0.17,0.17,0.17,0.17,1
Subnautica,https://youtu.be/Rz2SNm8VguE,0.17,0.67,0.17,0.5,1,0.83,0.17,0.67,0.67,0.67,0.5,1
Mass Effect,https://www.youtube.com/watch?v=n8i53TtQ6IQ,0.17,0.33,0.33,0.17,0.67,1,0.67,0.83,0.67,1,1,0.83
Batman Arkham Knight,https://www.youtube.com/watch?v=JeGAQXY2FzI,0.17,0.33,0.5,0.17,0.5,1,0.83,1,0.83,1,0.67,0.83
Shadow Of The Tomb Raider - Square Enix,https://www.youtube.com/watch?v=D1kTu2hacaI,0.17,0.33,0.33,0.17,0.67,1,0.83,0.83,0.5,1,1,0.67
Forza Horizon - Xbox Game Studios,https://www.youtube.com/watch?v=FYH9n37B7Yw,0.67,0.5,1,0.5,0.17,0.67,0.17,0.5,1,0.17,1,0.67
Beyond Two Souls - Quantic Dream,https://www.youtube.com/watch?v=MtEoS0MaNyA,0.17,0.33,0.17,0.17,0.83,1,0.67,1,0.67,1,0.5,0.5
Disney Infinity - Disney Interactive Studios,https://www.youtube.com/watch?v=IYlOGxF3UMk,0.17,0.33,0.33,0.17,0.17,1,0.17,0.17,1,0.5,1,0.67
Grand Theft Auto V - Rockstar Games,https://www.youtube.com/watch?v=kEqBkggQoic,0.17,0.33,0.17,0.83,0.17,1,0.33,1,0.83,0.5,0.83,0.83
Infamous: Second Son - Sony,https://www.youtube.com/watch?v=5ukyqLS5t2Y,0.17,0.17,0.83,0.17,0.33,1,0.33,1,0.67,0.83,0.83,0.83
Kirby's Epic Yarn - Nintendo,https://www.youtube.com/watch?v=LCvv4Ktwo9c,0.33,0.17,0.17,0.17,0.17,1,0.5,0.17,1,0.67,1,0.67
Los Sims 4 - EA,https://www.youtube.com/watch?v=Pg3-GW3ovWE,0.17,1,0.17,0.17,0.33,0.67,0.17,0.17,0.5,0.17,0.83,0.83
Archero,https://youtu.be/4LRdw8LCCkU,1,1,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,1,0.5
Avengers - Marvel,https://youtu.be/7nkyq3zkJ7o,1,1,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,1,0.5
